S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
623,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1080000,-,1249,Strata,06 to 10,865,17-Jun
624,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,103 yrs lease commencing from 1975,Resale,1,1175000,-,1615,Strata,01 to 05,728,17-Jun
625,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,605000,-,592,Strata,01 to 05,1022,17-Jun
626,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,102 yrs lease commencing from 1978,Resale,1,1200000,-,1453,Strata,11 to 15,826,17-Jun
627,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,510000,-,431,Strata,01 to 05,1185,17-Jun
628,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,1200800,-,1615,Strata,01 to 05,744,17-Jun
629,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1228000,-,1184,Strata,11 to 15,1037,17-Jun
630,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,775000,-,463,Strata,06 to 10,1674,17-Jun
631,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,736000,-,936,Strata,06 to 10,786,17-Jun
632,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,102 yrs lease commencing from 1978,Resale,1,1270000,-,1615,Strata,16 to 20,787,17-Jun
633,THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 yrs lease commencing from 2012,Resale,1,1045000,-,710,Strata,01 to 05,1471,17-Jun
634,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,777700,-,463,Strata,11 to 15,1680,17-Jun
635,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,102 yrs lease commencing from 1978,Resale,1,1150000,-,1453,Strata,06 to 10,791,17-Jun
636,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1150000,-,1270,Strata,11 to 15,905,17-Jun
637,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,963000,-,926,Strata,11 to 15,1040,17-Jun
638,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1160000,-,1206,Strata,01 to 05,962,17-Jun
639,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,630000,-,463,Strata,01 to 05,1361,17-Jun
640,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1465000,-,1173,Strata,01 to 05,1249,17-Jun
641,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,1290000,-,1615,Strata,06 to 10,799,17-Jun
642,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,2150000,-,1744,Strata,36 to 40,1233,17-Jun
643,IVORY HEIGHTS,JURONG EAST STREET 13,Condominium,22,OCR,100 yrs lease commencing from 1986,Resale,1,1280000,-,1894,Strata,01 to 05,676,17-Jun
644,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,535000,-,431,Strata,01 to 05,1243,17-Jun
645,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1310000,-,1507,Strata,11 to 15,869,17-Jun
646,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,550800,-,517,Strata,01 to 05,1066,17-Jun
647,COUNTRY GRANDEUR,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1620000,-,1442,Strata,11 to 15,1123,17-Jun
648,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,102 yrs lease commencing from 1978,Resale,1,1450000,-,1798,Strata,01 to 05,807,17-Jun
649,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1450000,-,1421,Strata,01 to 05,1021,17-Jun
650,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1290000,-,1227,Strata,06 to 10,1051,17-Jun
651,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,1950000,-,1765,Strata,16 to 20,1105,17-Jun
652,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,2050000,-,1561,Strata,06 to 10,1313,17-Jun
653,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,3078700,-,2077,Strata,16 to 20,1482,17-Jun
654,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,900000,-,1076,Strata,01 to 05,836,17-Jun
655,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1090000,-,818,Strata,11 to 15,1332,17-Jun
656,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,953000,-,743,Strata,16 to 20,1283,17-Jun
657,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1484000,-,1173,Strata,01 to 05,1265,17-Jun
658,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,1250000,-,1615,Strata,06 to 10,774,17-Jun
659,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,1565000,-,1292,Strata,21 to 25,1212,17-Jun
660,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,1200000,-,1625,Strata,01 to 05,738,17-Jun
661,THE WINDSOR,ONTARIO AVENUE,Condominium,20,RCR,Freehold,Resale,1,1500000,-,1658,Strata,01 to 05,905,17-Jun
662,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,1225000,-,1615,Strata,06 to 10,759,17-Jun
663,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1058000,-,1238,Strata,11 to 15,855,17-Jun
664,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1190000,-,1152,Strata,11 to 15,1033,17-Jun
665,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1400000,-,1238,Strata,06 to 10,1131,17-Jun
666,COUNTRY GRANDEUR,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1530000,-,1442,Strata,01 to 05,1061,17-Jun
667,BOONVIEW,MARYMOUNT TERRACE,Condominium,20,RCR,Freehold,Resale,1,1738000,-,1518,Strata,11 to 15,1145,17-Jun
668,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1415000,-,872,Strata,01 to 05,1623,17-Jun
669,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,1280000,-,1615,Strata,16 to 20,793,17-Jun
670,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1375000,-,1453,Strata,06 to 10,946,17-Jun
671,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 yrs lease commencing from 1982,Resale,1,1380000,-,1948,Strata,06 to 10,708,17-Jun
672,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,1280000,-,1615,Strata,11 to 15,793,17-Jun
673,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 yrs lease commencing from 1982,Resale,1,1350000,-,1948,Strata,01 to 05,693,17-Jun
674,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1097000,-,818,Strata,11 to 15,1341,17-Jun
675,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1450000,-,1216,Strata,11 to 15,1192,17-Jun
676,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,765000,-,915,Strata,06 to 10,836,17-Jun
677,THE WINDSOR,ONTARIO AVENUE,Condominium,20,RCR,Freehold,Resale,1,1900000,-,1830,Strata,01 to 05,1038,17-Jun
678,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1146000,-,1141,Strata,06 to 10,1004,17-Jun
679,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,540000,-,431,Strata,01 to 05,1254,17-Jun
680,THE WINDSOR,ONTARIO AVENUE,Condominium,20,RCR,Freehold,Resale,1,2260000,-,2454,Strata,01 to 05,921,17-Jun
681,THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 yrs lease commencing from 2012,Sub Sale,1,1670000,-,1141,Strata,16 to 20,1464,17-Jun
682,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,1250000,-,1615,Strata,16 to 20,774,17-Jun
683,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,983000,-,775,Strata,01 to 05,1268,17-Jun
684,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1083000,-,818,Strata,11 to 15,1324,17-Jun
685,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,488000,-,431,Strata,01 to 05,1133,17-Jun
686,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,653000,-,603,Strata,01 to 05,1083,17-Jun
687,THOMSON V TWO,SIN MING ROAD,Apartment,20,RCR,Freehold,Resale,1,900000,-,646,Strata,01 to 05,1394,17-Jun
688,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1700000,-,1313,Strata,06 to 10,1295,17-Jun
689,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,780000,-,506,Strata,11 to 15,1542,17-Jun
690,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,1220000,-,1615,Strata,06 to 10,756,17-Jun
691,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1768000,-,1313,Strata,06 to 10,1346,17-Jun
692,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1180000,-,872,Strata,11 to 15,1353,17-Jun
693,THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1975,Resale,1,1710000,-,2024,Strata,16 to 20,845,17-Jun
694,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,1220000,-,2077,Strata,06 to 10,587,17-May
695,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1230000,-,1152,Strata,06 to 10,1068,17-May
696,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1037000,-,775,Strata,16 to 20,1338,17-May
697,183 LONGHAUS,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,New Sale,1,1525700,-,936,Strata,01 to 05,1629,17-May
698,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1181000,-,904,Strata,01 to 05,1306,17-May
699,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1030000,-,1130,Strata,06 to 10,911,17-May
700,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1628000,-,1356,Strata,01 to 05,1200,17-May
701,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1465400,-,1055,Strata,01 to 05,1389,17-May
702,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,628000,-,603,Strata,01 to 05,1042,17-May
703,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,2130000,-,1561,Strata,16 to 20,1365,17-May
704,THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1975,Resale,1,1168000,-,1313,Strata,06 to 10,889,17-May
705,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,740000,-,1184,Strata,01 to 05,625,17-May
706,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1162000,-,1378,Strata,01 to 05,843,17-May
707,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years leasehold,New Sale,1,2180000,-,1561,Strata,16 to 20,1397,17-May
708,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,628000,-,581,Strata,01 to 05,1080,17-May
709,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,730000,-,689,Strata,01 to 05,1060,17-May
710,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1162000,-,1109,Strata,06 to 10,1048,17-May
711,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 yrs lease commencing from 1982,Resale,1,1368000,-,1948,Strata,06 to 10,702,17-May
712,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,102 yrs lease commencing from 1978,Resale,1,1370000,-,1701,Strata,11 to 15,806,17-May
713,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1150000,-,818,Strata,06 to 10,1406,17-May
714,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1069000,-,818,Strata,11 to 15,1307,17-May
715,FABER GARDEN CONDOMINIUM,ANGKLONG LANE,Condominium,20,RCR,Freehold,Resale,1,1980000,-,1711,Strata,01 to 05,1157,17-May
716,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1385000,-,947,Strata,11 to 15,1462,17-May
717,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1020000,-,883,Strata,16 to 20,1156,17-May
718,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,568000,-,549,Strata,01 to 05,1035,17-May
719,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,880000,-,1076,Strata,06 to 10,818,17-May
720,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,715000,-,1012,Strata,01 to 05,707,17-May
721,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1078000,-,883,Strata,01 to 05,1221,17-May
722,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1047000,-,818,Strata,01 to 05,1280,17-May
723,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1185000,-,904,Strata,01 to 05,1311,17-May
724,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,102 yrs lease commencing from 1978,Resale,1,1200000,-,1615,Strata,01 to 05,743,17-May
725,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,990000,-,1227,Strata,11 to 15,807,17-May
726,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1160000,-,1066,Strata,11 to 15,1089,17-May
727,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,965000,-,1518,Strata,01 to 05,636,17-May
728,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,1380000,-,1292,Strata,06 to 10,1068,17-May
729,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1050000,-,1658,Strata,01 to 05,633,17-May
730,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1293841,-,1109,Strata,01 to 05,1167,17-May
731,SIN MING PLAZA,SIN MING ROAD,Apartment,20,RCR,Freehold,Resale,1,1150000,-,1076,Strata,01 to 05,1068,17-May
732,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1056000,-,818,Strata,06 to 10,1291,17-May
733,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1697330,-,1302,Strata,01 to 05,1303,17-May
734,THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1975,Resale,1,1600000,-,2024,Strata,16 to 20,791,17-May
735,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1601523,-,1195,Strata,01 to 05,1340,17-May
736,FLAME TREE PARK,SIN MING AVENUE,Condominium,20,RCR,Freehold,Resale,1,1950888,-,1830,Strata,16 to 20,1066,17-May
737,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1260000,-,1216,Strata,06 to 10,1036,17-May
738,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1365000,-,2153,Strata,01 to 05,634,17-May
739,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,1539900,-,1055,Strata,11 to 15,1460,17-May
740,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,933200,-,560,Strata,01 to 05,1667,17-May
741,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,725000,-,936,Strata,01 to 05,774,17-May
742,THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1975,Resale,1,1670000,-,2024,Strata,06 to 10,825,17-May
743,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1338000,-,936,Strata,06 to 10,1429,17-May
744,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1993700,-,1399,Strata,06 to 10,1425,17-May
745,BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1268000,-,1184,Strata,26 to 30,1071,17-May
746,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1128000,-,1184,Strata,01 to 05,953,17-May
747,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1260000,-,1389,Strata,01 to 05,907,17-May
748,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1021000,-,775,Strata,11 to 15,1317,17-May
749,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1040000,-,818,Strata,06 to 10,1271,17-May
750,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,993000,-,775,Strata,01 to 05,1281,17-May
751,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1022000,-,1184,Strata,06 to 10,863,17-May
752,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1308000,-,1238,Strata,11 to 15,1057,17-May
753,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1166300,-,678,Strata,31 to 35,1720,17-May
754,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,930000,-,883,Strata,16 to 20,1054,17-May
755,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1250000,-,1227,Strata,11 to 15,1019,17-May
756,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1025000,-,1249,Strata,01 to 05,821,17-May
757,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1200000,-,1389,Strata,11 to 15,864,17-May
758,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1090000,-,775,Strata,11 to 15,1406,17-May
759,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,980000,-,1109,Strata,06 to 10,884,17-May
760,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1138000,-,1195,Strata,11 to 15,952,17-May
761,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1110420,-,926,Strata,01 to 05,1200,17-May
762,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1009000,-,775,Strata,06 to 10,1302,17-May
763,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1033000,-,775,Strata,11 to 15,1333,17-Apr
764,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,New Sale,1,1522988,-,1281,Strata,01 to 05,1189,17-Apr
765,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,New Sale,1,2030000,-,1561,Strata,11 to 15,1301,17-Apr
766,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1145000,-,861,Strata,11 to 15,1330,17-Apr
767,FABER GARDEN CONDOMINIUM,ANGKLONG LANE,Condominium,20,RCR,Freehold,Resale,1,1850000,-,1572,Strata,11 to 15,1177,17-Apr
768,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1638000,-,1356,Strata,06 to 10,1208,17-Apr
769,BISHAN PARK CONDOMINIUM,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1991,Resale,1,1150000,-,1270,Strata,01 to 05,905,17-Apr
770,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,2100000,-,2099,Strata,16 to 20,1000,17-Apr
771,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1330000,-,969,Strata,16 to 20,1373,17-Apr
772,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1242000,-,1195,Strata,11 to 15,1040,17-Apr
773,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,945000,-,1249,Strata,01 to 05,757,17-Apr
774,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1345000,-,1378,Strata,16 to 20,976,17-Apr
775,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,762300,-,463,Strata,11 to 15,1647,17-Apr
776,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1013000,-,775,Strata,06 to 10,1307,17-Apr
777,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1065000,-,818,Strata,06 to 10,1302,17-Apr
778,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,773200,-,463,Strata,11 to 15,1671,17-Apr
779,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1050000,-,775,Strata,01 to 05,1355,17-Apr
780,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1680000,-,1442,Strata,06 to 10,1165,17-Apr
781,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1160000,-,1152,Strata,11 to 15,1007,17-Apr
782,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1555800,-,1066,Strata,21 to 25,1460,17-Apr
783,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1648700,-,1163,Strata,21 to 25,1418,17-Apr
784,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1080000,-,1249,Strata,06 to 10,865,17-Apr
785,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,761200,-,463,Strata,06 to 10,1645,17-Apr
786,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1020000,-,1227,Strata,06 to 10,831,17-Apr
787,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,745000,-,463,Strata,06 to 10,1610,17-Apr
788,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2487400,-,1798,Strata,06 to 10,1384,17-Apr
