"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq m)","Lease Commencement Date"
"1","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","Jan-2018"
"2","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Jan-2018"
"3","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2000","90 to 100","Jan-2018"
"4","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","90 to 100","Jan-2018"
"5","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","130 to 140","Jan-2018"
"6","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","1700","100 to 110","Jan-2018"
"7","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3200","100 to 110","Jan-2018"
"8","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jan-2018"
"9","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jan-2018"
"10","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2100","120 to 130","Jan-2018"
"11","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3400","130 to 140","Jan-2018"
"12","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2000","110 to 120","Jan-2018"
"13","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","90 to 100","Jan-2018"
"14","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Jan-2018"
"15","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jan-2018"
"16","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","130 to 140","Jan-2018"
"17","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2250","110 to 120","Jan-2018"
"18","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2250","110 to 120","Jan-2018"
"19","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2800","110 to 120","Jan-2018"
"20","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Jan-2018"
"21","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Jan-2018"
"22","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","130 to 140","Jan-2018"
"23","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2550","120 to 130","Jan-2018"
"24","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","130 to 140","Jan-2018"
"25","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Jan-2018"
"26","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Jan-2018"
"27","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Jan-2018"
"28","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","130 to 140","Jan-2018"
"29","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","130 to 140","Jan-2018"
"30","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Jan-2018"
"31","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2900","120 to 130","Jan-2018"
"32","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2300","110 to 120","Jan-2018"
"33","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2850","100 to 110","Jan-2018"
"34","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","110 to 120","Jan-2018"
"35","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2600","110 to 120","Jan-2018"
"36","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jan-2018"
"37","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jan-2018"
"38","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Jan-2018"
"39","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Jan-2018"
"40","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3100","140 to 150","Jan-2018"
"41","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2700","130 to 140","Jan-2018"
"42","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","130 to 140","Jan-2018"
"43","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Jan-2018"
"44","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Jan-2018"
"45","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2350","120 to 130","Jan-2018"
"46","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Jan-2018"
"47","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2350","120 to 130","Jan-2018"
"48","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","110 to 120","Jan-2018"
"49","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2100","90 to 100","Jan-2018"
"50","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Jan-2018"
"51","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Dec-2017"
"52","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Dec-2017"
"53","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","2800","100 to 110","Dec-2017"
"54","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2500","100 to 110","Dec-2017"
"55","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2150","100 to 110","Dec-2017"
"56","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2100","110 to 120","Dec-2017"
"57","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","4300","120 to 130","Dec-2017"
"58","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Dec-2017"
"59","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1900","80 to 90","Dec-2017"
"60","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Dec-2017"
"61","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","130 to 140","Dec-2017"
"62","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","110 to 120","Dec-2017"
"63","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","100 to 110","Dec-2017"
"64","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3100","100 to 110","Dec-2017"
"65","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Dec-2017"
"66","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1900","80 to 90","Dec-2017"
"67","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Dec-2017"
"68","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Dec-2017"
"69","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2000","120 to 130","Dec-2017"
"70","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Dec-2017"
"71","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2350","120 to 130","Dec-2017"
"72","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","130 to 140","Dec-2017"
"73","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","110 to 120","Dec-2017"
"74","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Dec-2017"
"75","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2200","110 to 120","Dec-2017"
"76","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","110 to 120","Dec-2017"
"77","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2850","100 to 110","Dec-2017"
"78","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2250","120 to 130","Dec-2017"
"79","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","130 to 140","Dec-2017"
"80","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3350","120 to 130","Dec-2017"
"81","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","130 to 140","Dec-2017"
"82","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","110 to 120","Dec-2017"
"83","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","110 to 120","Dec-2017"
"84","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","Dec-2017"
"85","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Dec-2017"
"86","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1700","80 to 90","Dec-2017"
"87","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Dec-2017"
"88","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2200","110 to 120","Dec-2017"
"89","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2300","100 to 110","Dec-2017"
"90","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Dec-2017"
"91","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Dec-2017"
"92","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","Dec-2017"
"93","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","110 to 120","Dec-2017"
"94","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","3900","130 to 140","Dec-2017"
"95","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","100 to 110","Dec-2017"
"96","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","Dec-2017"
"97","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","130 to 140","Dec-2017"
"98","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Dec-2017"
"99","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2850","110 to 120","Dec-2017"
"100","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Dec-2017"
"101","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Dec-2017"
"102","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Dec-2017"
"103","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Dec-2017"
"104","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Dec-2017"
"105","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4500","130 to 140","Nov-2017"
"106","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Nov-2017"
"107","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2550","120 to 130","Nov-2017"
"108","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4000","130 to 140","Nov-2017"
"109","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2700","120 to 130","Nov-2017"
"110","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","130 to 140","Nov-2017"
"111","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2300","110 to 120","Nov-2017"
"112","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Nov-2017"
"113","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Nov-2017"
"114","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","160 to 170","Nov-2017"
"115","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Nov-2017"
"116","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","3","1500","110 to 120","Nov-2017"
"117","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Nov-2017"
"118","LAKE LIFE","TAO CHING ROAD","22","Executive Condominium","4","2700","110 to 120","Nov-2017"
"119","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Nov-2017"
"120","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","130 to 140","Nov-2017"
"121","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Nov-2017"
"122","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Nov-2017"
"123","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2300","120 to 130","Nov-2017"
"124","FORESTVILLE","WOODLANDS DRIVE 16","25","Executive Condominium","3","1450","120 to 130","Nov-2017"
"125","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2800","110 to 120","Nov-2017"
"126","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","4400","90 to 100","Nov-2017"
"127","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Nov-2017"
"128","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2500","110 to 120","Nov-2017"
"129","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","100 to 110","Nov-2017"
"130","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","4","2700","130 to 140","Nov-2017"
"131","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Nov-2017"
"132","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Nov-2017"
"133","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Nov-2017"
"134","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1900","80 to 90","Nov-2017"
"135","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Nov-2017"
"136","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","130 to 140","Nov-2017"
"137","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Nov-2017"
"138","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Nov-2017"
"139","FORESTVILLE","WOODLANDS DRIVE 16","25","Executive Condominium","4","1450","130 to 140","Nov-2017"
"140","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2950","210 to 220","Nov-2017"
"141","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","4","1400","130 to 140","Nov-2017"
"142","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","100 to 110","Nov-2017"
"143","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2300","110 to 120","Nov-2017"
"144","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Nov-2017"
"145","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Oct-2017"
"146","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1900","80 to 90","Oct-2017"
"147","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2500","120 to 130","Oct-2017"
"148","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","110 to 120","Oct-2017"
"149","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Oct-2017"
"150","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","120 to 130","Oct-2017"
"151","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","120 to 130","Oct-2017"
"152","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4000","130 to 140","Oct-2017"
"153","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Oct-2017"
"154","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","110 to 120","Oct-2017"
"155","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Oct-2017"
"156","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Oct-2017"
"157","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2350","130 to 140","Oct-2017"
"158","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","100 to 110","Oct-2017"
"159","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2450","120 to 130","Oct-2017"
"160","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3100","100 to 110","Oct-2017"
"161","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","120 to 130","Oct-2017"
"162","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2850","120 to 130","Oct-2017"
"163","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2000","110 to 120","Oct-2017"
"164","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2100","120 to 130","Oct-2017"
"165","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3000","100 to 110","Oct-2017"
"166","BELLEWOODS","WOODLANDS AVENUE 5","25","Executive Condominium","3","2100","80 to 90","Oct-2017"
"167","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","130 to 140","Oct-2017"
"168","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2050","90 to 100","Oct-2017"
"169","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2600","100 to 110","Oct-2017"
"170","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2300","120 to 130","Oct-2017"
"171","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Oct-2017"
"172","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Oct-2017"
"173","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Oct-2017"
"174","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Oct-2017"
"175","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Oct-2017"
"176","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Oct-2017"
"177","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2500","110 to 120","Oct-2017"
"178","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Oct-2017"
"179","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2550","110 to 120","Oct-2017"
"180","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","100 to 110","Oct-2017"
"181","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Oct-2017"
"182","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","120 to 130","Oct-2017"
"183","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","3600","230 to 240","Oct-2017"
"184","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","120 to 130","Oct-2017"
"185","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Oct-2017"
"186","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Oct-2017"
"187","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2900","180 to 190","Oct-2017"
"188","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2450","120 to 130","Oct-2017"
"189","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2450","110 to 120","Oct-2017"
"190","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2550","110 to 120","Oct-2017"
"191","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Sep-2017"
"192","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Sep-2017"
"193","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","4","2900","110 to 120","Sep-2017"
"194","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2450","120 to 130","Sep-2017"
"195","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2250","120 to 130","Sep-2017"
"196","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3100","130 to 140","Sep-2017"
"197","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2650","110 to 120","Sep-2017"
"198","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","3","2500","100 to 110","Sep-2017"
"199","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Sep-2017"
"200","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Sep-2017"
"201","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","210 to 220","Sep-2017"
"202","FORESTVILLE","WOODLANDS DRIVE 16","25","Executive Condominium","3","1900","110 to 120","Sep-2017"
"203","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2300","110 to 120","Sep-2017"
"204","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Sep-2017"
"205","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Sep-2017"
"206","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Sep-2017"
"207","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2800","130 to 140","Sep-2017"
"208","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2100","110 to 120","Sep-2017"
"209","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","110 to 120","Sep-2017"
"210","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Sep-2017"
"211","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Sep-2017"
"212","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","1980","90 to 100","Sep-2017"
"213","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3800","130 to 140","Sep-2017"
"214","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3600","120 to 130","Sep-2017"
"215","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Sep-2017"
"216","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Sep-2017"
"217","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2400","100 to 110","Sep-2017"
"218","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Sep-2017"
"219","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2200","120 to 130","Sep-2017"
"220","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Sep-2017"
"221","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Sep-2017"
"222","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2500","110 to 120","Sep-2017"
"223","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Sep-2017"
"224","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","90 to 100","Sep-2017"
"225","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2650","130 to 140","Sep-2017"
"226","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","130 to 140","Sep-2017"
"227","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","130 to 140","Sep-2017"
"228","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Sep-2017"
"229","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Sep-2017"
"230","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Aug-2017"
"231","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2750","190 to 200","Aug-2017"
"232","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2480","120 to 130","Aug-2017"
"233","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","130 to 140","Aug-2017"
"234","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2700","100 to 110","Aug-2017"
"235","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Aug-2017"
"236","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Aug-2017"
"237","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Aug-2017"
"238","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2700","110 to 120","Aug-2017"
"239","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Aug-2017"
"240","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1988","90 to 100","Aug-2017"
"241","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","Aug-2017"
"242","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Aug-2017"
"243","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Aug-2017"
"244","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","120 to 130","Aug-2017"
"245","LAKE LIFE","TAO CHING ROAD","22","Executive Condominium","3","2700","100 to 110","Aug-2017"
"246","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","Aug-2017"
"247","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3200","100 to 110","Aug-2017"
"248","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Aug-2017"
"249","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2250","110 to 120","Aug-2017"
"250","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2900","120 to 130","Aug-2017"
"251","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","110 to 120","Aug-2017"
"252","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2100","110 to 120","Aug-2017"
"253","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2500","150 to 160","Aug-2017"
"254","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","Aug-2017"
"255","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Aug-2017"
